#Experiment_s	Run_s
SRX2272043	SRR4455679
SRX2272043	SRR4455680
SRX2272044	SRR4455681
SRX2272044	SRR4455682
SRX2272045	SRR4455683
SRX2272045	SRR4455684
SRX2272046	SRR4455685
SRX2272046	SRR4455686
SRX2272047	SRR4455687
SRX2272047	SRR4455688
SRX2272048	SRR4455689
SRX2272048	SRR4455690
SRX2272049	SRR4455691
SRX2272049	SRR4455692
SRX2272050	SRR4455693
SRX2272050	SRR4455694
SRX2272051	SRR4455695
SRX2272051	SRR4455696
SRX2272052	SRR4455697
SRX2272052	SRR4455698
SRX2272053	SRR4455699
SRX2272053	SRR4455700
SRX2272054	SRR4455701
SRX2272054	SRR4455702
SRX2272055	SRR4455703
SRX2272055	SRR4455704
SRX2272056	SRR4455705
SRX2272056	SRR4455706
SRX2272057	SRR4455707
SRX2272057	SRR4455708
SRX2272058	SRR4455709
SRX2272058	SRR4455710
SRX2272059	SRR4455711
SRX2272059	SRR4455712
SRX2272060	SRR4455713
SRX2272060	SRR4455714
SRX2272061	SRR4455715
SRX2272061	SRR4455716
SRX2272062	SRR4455717
SRX2272062	SRR4455718
SRX2272063	SRR4455719
SRX2272063	SRR4455720
SRX2272064	SRR4455721
SRX2272064	SRR4455722
SRX2272065	SRR4455723
SRX2272065	SRR4455724
SRX2272066	SRR4455725
SRX2272066	SRR4455726
SRX2272067	SRR4455727
SRX2272067	SRR4455728
SRX2272068	SRR4455729
SRX2272068	SRR4455730
SRX2272069	SRR4455731
SRX2272069	SRR4455732
SRX2272070	SRR4455733
SRX2272070	SRR4455734
SRX2272071	SRR4455735
SRX2272071	SRR4455736
SRX2272072	SRR4455737
SRX2272072	SRR4455738
SRX2272073	SRR4455739
SRX2272073	SRR4455740
SRX2272074	SRR4455741
SRX2272074	SRR4455742
SRX2272075	SRR4455743
SRX2272075	SRR4455744
SRX2272076	SRR4455745
SRX2272076	SRR4455746
SRX2272077	SRR4455747
SRX2272077	SRR4455748
SRX2272078	SRR4455749
SRX2272078	SRR4455750
SRX2272079	SRR4455751
SRX2272079	SRR4455752
SRX2272080	SRR4455753
SRX2272080	SRR4455754
SRX2272081	SRR4455755
SRX2272081	SRR4455756
SRX2272082	SRR4455757
SRX2272082	SRR4455758
SRX2272083	SRR4455759
SRX2272083	SRR4455760
SRX2272084	SRR4455761
SRX2272084	SRR4455762
SRX2272085	SRR4455763
SRX2272085	SRR4455764
SRX2272086	SRR4455765
SRX2272086	SRR4455766
SRX2272087	SRR4455767
SRX2272087	SRR4455768
SRX2272088	SRR4455769
SRX2272088	SRR4455770
SRX2272089	SRR4455771
SRX2272089	SRR4455772
SRX2272090	SRR4455773
SRX2272090	SRR4455774
SRX2272091	SRR4455775
SRX2272091	SRR4455776
SRX2272092	SRR4455777
SRX2272092	SRR4455778
SRX2272093	SRR4455779
SRX2272093	SRR4455780
SRX2272094	SRR4455781
SRX2272094	SRR4455782
SRX2272095	SRR4455783
SRX2272095	SRR4455784
SRX2272096	SRR4455785
SRX2272096	SRR4455786
SRX2272097	SRR4455787
SRX2272097	SRR4455788
SRX2272098	SRR4455789
SRX2272098	SRR4455790
SRX2272099	SRR4455791
SRX2272099	SRR4455792
SRX2272100	SRR4455793
SRX2272100	SRR4455794
SRX2272101	SRR4455795
SRX2272101	SRR4455796
SRX2272102	SRR4455797
SRX2272102	SRR4455798
SRX2272103	SRR4455799
SRX2272103	SRR4455800
SRX2272104	SRR4455801
SRX2272104	SRR4455802
SRX2272105	SRR4455803
SRX2272105	SRR4455804
SRX2272106	SRR4455805
SRX2272106	SRR4455806
SRX2272107	SRR4455807
SRX2272107	SRR4455808
SRX2272108	SRR4455809
SRX2272108	SRR4455810
SRX2272109	SRR4455811
SRX2272109	SRR4455812
SRX2272110	SRR4455813
SRX2272110	SRR4455814
SRX2272111	SRR4455815
SRX2272111	SRR4455816
SRX2272112	SRR4455817
SRX2272112	SRR4455818
SRX2272113	SRR4455819
SRX2272113	SRR4455820
SRX2272114	SRR4455821
SRX2272114	SRR4455822
SRX2272115	SRR4455823
SRX2272115	SRR4455824
SRX2272116	SRR4455825
SRX2272116	SRR4455826
SRX2272117	SRR4455827
SRX2272117	SRR4455828
SRX2272118	SRR4455829
SRX2272118	SRR4455830
SRX2272119	SRR4455831
SRX2272119	SRR4455832
SRX2272120	SRR4455833
SRX2272120	SRR4455834
SRX2272121	SRR4455835
SRX2272121	SRR4455836
SRX2272122	SRR4455837
SRX2272122	SRR4455838
SRX2272123	SRR4455839
SRX2272123	SRR4455840
SRX2272124	SRR4455841
SRX2272124	SRR4455842
SRX2272125	SRR4455843
SRX2272125	SRR4455844
SRX2272126	SRR4455845
SRX2272126	SRR4455846
SRX2272127	SRR4455847
SRX2272127	SRR4455848
SRX2272128	SRR4455849
SRX2272128	SRR4455850
SRX2272129	SRR4455851
SRX2272129	SRR4455852
SRX2272130	SRR4455853
SRX2272130	SRR4455854
SRX2272131	SRR4455855
SRX2272131	SRR4455856
SRX2272132	SRR4455857
SRX2272132	SRR4455858
SRX2272133	SRR4455859
SRX2272133	SRR4455860
SRX2272134	SRR4455861
SRX2272134	SRR4455862
SRX2272135	SRR4455863
SRX2272135	SRR4455864
SRX2272136	SRR4455865
SRX2272136	SRR4455866
SRX2272137	SRR4455867
SRX2272137	SRR4455868
SRX2272138	SRR4455869
SRX2272138	SRR4455870
SRX2272139	SRR4455871
SRX2272139	SRR4455872
SRX2272140	SRR4455873
SRX2272140	SRR4455874
SRX2272141	SRR4455875
SRX2272141	SRR4455876
SRX2272142	SRR4455877
SRX2272142	SRR4455878
SRX2272143	SRR4455879
SRX2272143	SRR4455880
SRX2272144	SRR4455881
SRX2272144	SRR4455882
SRX2272145	SRR4455883
SRX2272145	SRR4455884
SRX2272146	SRR4455885
SRX2272146	SRR4455886
SRX2272147	SRR4455887
SRX2272147	SRR4455888
SRX2272148	SRR4455889
SRX2272148	SRR4455890
SRX2272149	SRR4455891
SRX2272149	SRR4455892
SRX2272150	SRR4455893
SRX2272150	SRR4455894
SRX2272151	SRR4455895
SRX2272151	SRR4455896
SRX2272152	SRR4455897
SRX2272152	SRR4455898
SRX2272153	SRR4455899
SRX2272153	SRR4455900
SRX2272154	SRR4455901
SRX2272154	SRR4455902
SRX2272155	SRR4455903
SRX2272155	SRR4455904
SRX2272156	SRR4455905
SRX2272156	SRR4455906
SRX2272157	SRR4455907
SRX2272157	SRR4455908
SRX2272158	SRR4455909
SRX2272158	SRR4455910
SRX2272159	SRR4455911
SRX2272159	SRR4455912
SRX2272160	SRR4455913
SRX2272160	SRR4455914
SRX2272161	SRR4455915
SRX2272161	SRR4455916
SRX2272162	SRR4455917
SRX2272162	SRR4455918
SRX2272163	SRR4455919
SRX2272163	SRR4455920
SRX2272164	SRR4455921
SRX2272164	SRR4455922
SRX2272165	SRR4455923
SRX2272165	SRR4455924
SRX2272166	SRR4455925
SRX2272166	SRR4455926
SRX2272167	SRR4455927
SRX2272167	SRR4455928
SRX2272168	SRR4455929
